"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.12,0,0,0.106,0,1,0.059,0,0,0,0,0.04,0,0.136,0,0.127,0.074,0.056,0
"prosecutor","crime",0,0,0.214,0,0.064,0,1,0,0,0,0,0.027,0.094,0,0.342,0.091,0.129,0.184,0,0
"police","crime",0,0.503,0.029,0,0.55,0,1,0,0,0,0,0.118,0,0,0.651,0.107,0.047,0,0,0
"defendant","crime",0,0,0.237,0,0.063,0,1,0,0,0,0,0,0.14,0,0.356,0.192,0.105,0.292,0,0
"restaurant","crime",0.015,0.206,0,0,0.24,0,1,0,0.089,0,0,0.131,0,0.009,0,0,0,0,0,0
"chef","crime",0,0.165,0.028,0,0.29,0,1,0,0,0,0,0.191,0,0,0,0.526,0,0,0,0
"investigator","crime",0,0.011,0.125,0,0.079,0,1,0.042,0,0,0,0,0.266,0,0.498,0,0.197,0,0,0
"witness","crime",0,0.058,0.164,0,0.141,0,1,0.015,0,0,0,0,0.255,0,0.319,0.101,0.048,0.22,0,0
"zzz_phil_jackson","crime",0,0.253,0,0,0.012,0.225,1,0,0.116,0,0,0.109,0,0,0,0,0.635,0,0,0
"witnesses","crime",0,0,0.292,0,0,0,1,0,0,0,0,0,0.047,0,0.385,0.139,0.051,0.187,0,0
"percent","economy",0.059,0.377,0.169,0.139,0.399,0.152,0.002,0,0.127,0,0.156,1,0,0.226,0.91,0,0.047,0,0.044,0.336
"market","economy",0,0.251,0.055,0,0.179,0,0,0.115,0.147,0,0,1,0.324,0.014,0,0.466,0,0.583,0.135,0.051
"growth","economy",0.525,0.318,0.486,0,0.578,0,0,0,0.004,0.156,0,0.893,0.378,0.191,1,0.97,0,0,0,0
"economy","economy",0.313,0.439,0.171,0,0.643,0,0.199,0.08,0.084,0,0,0,0.517,0.01,0,1,0,0,0.128,0
"rate","economy",0.651,0.509,0.132,0,0.845,0,0.639,0.342,0,0.123,0,0.957,0.899,0.113,1,0.523,0,0,0.284,0
"rates","economy",0.433,0.445,0,0,0.594,0,0.496,0.622,0.1,0.069,0,0,1,0.142,0.316,0.379,0,0,0.469,0
"economist","economy",0.142,0.287,0.634,0,0.381,0,0.046,0.543,0.028,0,0,0,1,0,0,0.975,0,0,0.313,0
"poll","economy",0,0,1,0.103,0.008,0,0,0,0,0,0.376,0,0.208,0,0.368,0,0,0.022,0,0.017
"survey","economy",0,0,0.741,0,0,0,0,0,0,0,0,0,0.074,0,1,0.254,0.014,0,0,0.209
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.395,0,0,0,0.323,0.361,0,0.406,0,0
"children","education",0,0,0,0,0.047,0,0,0,0,0,0.095,0.1,0,0,1,0,0.07,0.141,0,0.005
"reading","education",0.258,0.075,0,0,0.243,0,0,0,0,0.061,0,0.021,0,0.061,1,0.151,0.063,0,0,0
"campus","education",0.135,0.149,0.027,0,0.142,0.28,0,0.062,0.064,0,0,0.073,0,0.253,1,0,0.022,0,0.155,0.285
"learn","education",0.023,0,0.076,0,0,0,0,0,0,0,0,0,0,0,1,0.023,0,0.25,0,0.011
"prayer","education",0.093,0.06,0.022,0,0.155,0.014,0.003,0,0,0,0,0,0,0.082,1,0,0,0.096,0,0.059
"application","education",0,0,0.227,0,0,0,0,0.017,0,0,0.059,0,0.028,0,1,0.104,0.019,0,0,0
"literature","education",0,0.165,0.091,0,0.173,0.038,0.106,0,0,0,0,0.142,0,0,1,0.178,0.029,0,0.043,0.072
"deaf","education",0,0,0.055,0,0,0,0,0,0,0,0.127,0,0,0,1,0,0.121,0.072,0,0.001
"learning","education",0.241,0,0.071,0,0.055,0.067,0,0,0,0.188,0,0,0,0.14,1,0.058,0,0.147,0,0.112
"textbook","education",0.136,0.133,0.042,0,0.197,0.12,0,0,0,0,0,0.091,0,0.167,1,0.158,0.013,0,0,0.164
"com","online",0.288,0.386,0,0,0.533,0,0,0,0.108,0,0,0.567,1,0.162,0.55,0,0,0.214,0,0.014
"information","online",0,0.053,0.335,0,0.158,0,0,0,0,0,0,0.105,1,0,0.953,0.435,0.222,0,0,0
"www","online",0.633,0.657,0,0.529,0.85,0.571,0,0,0.825,0,0.171,0,0,0.768,0,0,0,0,0,1
"zzz_eastern","online",0,0.018,0.007,0,0.12,0,0,0.163,0,0,0,0.094,1,0,0.357,0.343,0.062,0.084,0,0
"commentary","online",0,0,0.017,0,0.087,0,0,0.198,0,0,0,0.061,1,0,0.353,0.341,0.076,0.107,0,0
"web","online",0,0.486,0,0.845,0.629,0.23,0,0,0.448,0,1,0.271,0,0.311,0.056,0,0,0,0,0.794
"business","online",0,0,0.349,0,0,0,0,0,0,0,0.038,0.613,0,0,1,0.547,0,0.223,0,0
"separate","online",0,0,0.301,0,0,0,0,0.053,0,0,0,0.266,1,0,0.646,0.539,0.085,0.144,0,0
"marked","online",0,0,0.137,0,0.11,0,0,0.062,0,0,0,0.079,1,0,0.418,0.533,0.055,0.205,0,0
"holiday","online",0,0.069,0.082,0,0.112,0,0,0.232,0,0,0,0.273,1,0,0.386,0.425,0.064,0.161,0,0
"game","sports",0,0,0,0.078,0,0.027,0,0.024,0,0,0.143,0.004,0,0,0.108,0,0.105,1,0,0.025
"ball","sports",0,0,0,0,0,0,0,0,0,0.033,0,0.07,0,0,0.014,0,0.07,1,0,0
"guy","sports",0,0,0.094,0,0,0,0,0.075,0,0,0,0,0.068,0,0.163,0.017,0,1,0,0
"run","sports",0.139,0.171,0,0.027,0.187,0.087,0,0,0.154,0.002,0,0.091,0,0.14,0,0,0,1,0.041,0.123
"allowed","sports",0.04,0.055,0,0,0.076,0.001,0.014,0,0.021,0,0,0.05,0,0.038,0.131,0,0.004,1,0,0.033
"threw","sports",0.049,0.015,0,0,0.021,0.025,0,0,0.038,0.049,0,0.029,0,0.045,0,0,0.019,1,0,0.044
"throw","sports",0.01,0.067,0,0,0.066,0.028,0.095,0,0.054,0,0,0,0,0.038,0,0,0.114,1,0,0.007
"left","sports",0.055,0.043,0,0,0.044,0.064,0.188,0,0.05,0.005,0,0.023,0,0.071,0.081,0,0.027,1,0,0.038
"play","sports",0,0,0,0.091,0,0.126,0,0.165,0,0,0.237,0,0,0,0.316,0,0.097,1,0,0.057
"starter","sports",0.052,0.04,0.004,0,0.056,0,0,0,0.038,0.03,0,0.092,0.002,0.032,0,0.13,0,1,0,0.047
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
