"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0,0,0,0,0,0.055,0,0.118,0,0.131,0.076,0.387,0
"prosecutor","crime",0,0,0.206,0,0,0,1,0.162,0,0,0,0.031,0.049,0,0.319,0.104,0.14,0.201,0.012,0
"police","crime",0,0.143,0,0,0.156,0,1,0,0,0,0,0.127,0,0,0.729,0.121,0.05,0,0.244,0
"defendant","crime",0,0,0.238,0,0,0,1,0.321,0,0,0,0,0.078,0,0.297,0.216,0.115,0.324,0,0
"restaurant","crime",0,0.037,0,0.013,0.031,0,1,0,0.045,0,0,0.132,0,0,0,0,0,0,0.717,0
"chef","crime",0,0,0.023,0,0,0,1,0,0,0,0,0.197,0,0,0,0.543,0,0,0.304,0
"investigator","crime",0,0,0.114,0,0,0,1,0.025,0,0,0,0,0.256,0,0.519,0,0.213,0,0.189,0
"witness","crime",0,0,0.154,0,0,0,1,0.175,0,0,0,0,0.225,0,0.298,0.113,0.052,0.238,0.057,0
"zzz_phil_jackson","crime",0,0,0,0,0,0.095,1,0,0,0,0,0.109,0,0,0,0,0.63,0,0.155,0.06
"witnesses","crime",0,0,0.3,0,0,0,1,0,0,0,0,0,0.014,0,0.324,0.156,0.056,0.207,0.332,0
"percent","economy",0.098,0.337,0.128,0.324,0.368,0.17,0,0,0.277,0,0.222,0.95,0,0.192,1,0,0.044,0,0.003,0.192
"market","economy",0,0.128,0.059,0,0.072,0,0,0,0.159,0,0,1,0.345,0.004,0,0.465,0,0.582,0.963,0.088
"growth","economy",0.257,0.138,0.409,0,0.103,0,0,0.09,0.029,0.228,0,0.784,0.233,0.053,1,0.853,0,0,0.236,0
"economy","economy",0.183,0.181,0.157,0,0.157,0,0.165,0.196,0,0,0,0,0.4,0,0,1,0,0,0.066,0
"rate","economy",0.505,0.366,0.084,0.031,0.443,0,0.503,0.636,0.033,0.036,0,0.862,0.653,0.072,1,0.477,0,0,0,0
"rates","economy",0.536,0.472,0,0.095,0.537,0,0.508,0.925,0.161,0,0,0,1,0.201,0.438,0.445,0,0,0,0
"economist","economy",0.115,0.134,0.618,0,0.115,0,0,0.882,0,0,0,0,0.877,0,0,1,0,0,0,0
"poll","economy",0.032,0,1,0.214,0.073,0,0,0,0,0,0.378,0,0.167,0,0.346,0,0,0.023,0.267,0
"survey","economy",0,0,0.66,0,0,0,0,0.068,0,0,0,0,0.045,0,1,0.235,0.013,0,0.033,0.081
