"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.091,0,0,0.05,0.013,1,0.214,0,0,0,0,0.024,0,0.094,0,0.113,0.057,0.213,0
"prosecutor","crime",0,0.012,0.209,0,0,0,1,0,0,0,0,0.022,0.081,0,0.24,0.081,0.11,0.15,0,0
"police","crime",0,0.339,0.04,0,0.271,0,1,0,0,0,0,0.102,0,0,0.598,0.089,0.041,0,0,0
"defendant","crime",0,0,0.213,0,0,0,1,0,0,0,0,0,0.121,0,0.214,0.161,0.087,0.237,0,0
"restaurant","crime",0.062,0.239,0,0.012,0.216,0.106,1,0,0.103,0,0,0.121,0,0.029,0,0,0,0,0.159,0
"chef","crime",0,0.115,0,0,0.128,0,1,0,0,0,0,0.167,0,0,0,0.446,0,0,0,0
"investigator","crime",0,0.043,0.145,0,0.03,0,1,0.12,0,0,0,0,0.224,0,0.401,0,0.169,0,0.054,0
"witness","crime",0,0.065,0.164,0,0.059,0,1,0.067,0,0,0,0,0.218,0,0.228,0.087,0.042,0.182,0.012,0
"zzz_phil_jackson","crime",0,0.209,0,0,0.049,0.268,1,0,0.117,0,0,0.101,0,0,0,0,0.599,0,0.131,0
"witnesses","crime",0,0,0.269,0,0,0,1,0,0,0,0,0,0.038,0,0.227,0.115,0.041,0.143,0,0
"percent","economy",0.102,0.388,0.283,0.479,0.36,0.168,0.081,0,0.046,0,0.247,0.955,0,0.262,1,0,0.044,0,0,0.386
"market","economy",0,0.081,0.04,0,0,0.015,0.231,0.006,0.124,0,0,1,0.315,0,0,0.449,0,0.579,0,0.017
"growth","economy",0.298,0.081,0.469,0,0.02,0,0.136,0,0,0.27,0,0.794,0.326,0.11,1,0.842,0,0,0,0.02
"economy","economy",0.224,0.173,0.091,0,0.133,0,0.461,0,0,0,0,0,0.53,0,0,1,0,0,0,0
"rate","economy",0.589,0.406,0.164,0.097,0.453,0,0.858,0,0,0.082,0,0.875,0.823,0.15,1,0.457,0,0,0,0
"rates","economy",0.443,0.374,0.015,0.076,0.38,0,0.719,0.268,0.07,0.01,0,0,1,0.171,0.358,0.357,0,0,0.034,0
"economist","economy",0.035,0.012,0.603,0,0,0,0.3,0.19,0,0,0,0,1,0,0,0.968,0,0,0,0
"poll","economy",0,0,1,0.283,0,0,0.005,0,0,0.03,0.315,0,0.178,0,0.258,0,0,0.014,0,0.156
