"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.136,0,0,0.116,0,1,0.106,0,0,0,0,0.039,0,0.129,0,0.128,0.075,0.117,0
"prosecutor","crime",0,0.011,0.215,0,0.087,0,1,0,0,0,0,0.029,0.092,0,0.341,0.093,0.13,0.188,0,0
"police","crime",0,0.543,0.022,0,0.569,0,1,0,0,0,0,0.121,0,0,0.615,0.109,0.048,0,0,0
"defendant","crime",0,0,0.239,0,0.086,0,1,0,0,0,0,0,0.138,0,0.37,0.194,0.106,0.298,0,0
"restaurant","crime",0.008,0.205,0,0,0.243,0,1,0,0.091,0,0,0.132,0,0.008,0,0,0,0,0.009,0
"chef","crime",0,0.16,0.025,0,0.283,0,1,0,0,0,0,0.191,0,0,0,0.522,0,0,0,0
"investigator","crime",0,0.042,0.127,0,0.109,0,1,0.114,0,0,0,0,0.267,0,0.482,0,0.2,0,0.015,0
"witness","crime",0,0.084,0.165,0,0.166,0,1,0.081,0,0,0,0,0.256,0,0.317,0.102,0.049,0.224,0.007,0
"zzz_phil_jackson","crime",0,0.239,0,0,0,0.196,1,0,0.107,0,0,0.109,0,0,0,0,0.631,0,0,0
"witnesses","crime",0,0,0.296,0,0.013,0,1,0,0,0,0,0,0.044,0,0.403,0.142,0.052,0.192,0,0
"percent","economy",0.09,0.403,0.162,0.144,0.415,0.321,0.004,0,0.152,0,0.16,1,0,0.264,0.819,0,0.047,0,0.066,0.25
"market","economy",0,0.285,0.052,0,0.194,0,0.001,0.126,0.153,0,0,1,0.326,0.013,0,0.465,0,0.583,0.16,0.051
"growth","economy",0.597,0.378,0.492,0,0.632,0,0,0,0.034,0.161,0,0.917,0.394,0.248,1,0.996,0,0,0,0
"economy","economy",0.326,0.467,0.162,0,0.662,0,0.209,0.086,0.089,0,0,0,0.523,0.016,0,1,0,0,0.153,0
"rate","economy",0.739,0.585,0.128,0,0.936,0,0.676,0.39,0,0.135,0,1,0.944,0.174,0.981,0.546,0,0,0.36,0
"rates","economy",0.465,0.489,0,0,0.634,0,0.502,0.642,0.123,0.067,0,0,1,0.169,0.287,0.376,0,0,0.512,0
"economist","economy",0.156,0.325,0.623,0,0.404,0,0.05,0.555,0.035,0,0,0,1,0,0,0.971,0,0,0.339,0
"poll","economy",0,0,1,0.105,0.014,0,0,0,0,0,0.376,0,0.208,0,0.375,0,0,0.022,0,0
"survey","economy",0,0,0.77,0,0,0.1,0,0,0,0,0,0,0.078,0.014,1,0.269,0.015,0,0,0.132
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.398,0,0,0,0.452,0.356,0,0.399,0,0
"children","education",0,0.003,0,0,0.05,0.154,0,0,0,0,0.11,0.107,0,0.022,1,0,0.075,0.151,0,0
"reading","education",0.303,0.084,0,0,0.261,0.05,0,0,0,0.077,0,0.022,0,0.101,1,0.158,0.066,0,0,0
"campus","education",0.176,0.172,0.029,0,0.158,0.485,0,0.07,0.09,0,0,0.08,0,0.316,1,0,0.024,0,0.178,0.228
"learn","education",0.055,0,0.082,0,0,0.1,0,0,0,0,0,0,0,0.02,1,0.024,0,0.264,0,0
"prayer","education",0.127,0.069,0.023,0,0.169,0.192,0,0,0,0,0,0,0,0.124,1,0,0,0.103,0,0
"application","education",0,0,0.239,0,0,0.004,0,0.032,0,0,0.069,0,0.027,0,1,0.108,0.02,0,0,0
"literature","education",0,0.184,0.095,0,0.177,0.199,0.114,0,0,0,0,0.151,0,0.031,1,0.189,0.031,0,0.053,0.005
"deaf","education",0,0,0.061,0.016,0,0.142,0,0,0,0,0.141,0,0,0.009,1,0,0.127,0.076,0,0
"learning","education",0.29,0,0.077,0,0.066,0.238,0,0,0,0.211,0,0,0,0.188,1,0.061,0,0.157,0,0.041
"textbook","education",0.171,0.145,0.043,0,0.208,0.296,0,0,0.014,0,0,0.097,0,0.212,1,0.169,0.014,0,0,0.097
"com","online",0.315,0.415,0,0,0.553,0,0,0,0.123,0,0,0.565,1,0.185,0.513,0,0,0.213,0,0
"information","online",0,0.095,0.335,0,0.184,0,0,0.017,0,0,0,0.104,1,0,0.926,0.434,0.222,0,0,0
"www","online",0.628,0.629,0,0.522,0.84,0.627,0,0,0.84,0,0.18,0,0,0.781,0,0,0,0,0,1
"zzz_eastern","online",0,0.038,0.009,0,0.133,0,0,0.185,0,0,0,0.094,1,0,0.366,0.341,0.062,0.084,0,0
"commentary","online",0,0.013,0.019,0,0.101,0,0,0.22,0,0,0,0.061,1,0,0.363,0.339,0.076,0.107,0,0
"web","online",0,0.432,0,0.811,0.574,0.248,0,0,0.426,0,1,0.269,0,0.289,0.014,0,0,0,0,0.763
"business","online",0,0,0.345,0,0,0,0,0,0,0,0.04,0.585,0,0,1,0.519,0,0.214,0,0
"separate","online",0,0,0.305,0,0,0,0,0.089,0,0,0,0.267,1,0,0.668,0.539,0.085,0.145,0,0
"marked","online",0,0,0.139,0,0.125,0,0,0.09,0,0,0,0.079,1,0,0.436,0.531,0.055,0.205,0,0
"holiday","online",0,0.094,0.083,0,0.128,0,0,0.259,0,0,0,0.272,1,0,0.384,0.423,0.064,0.161,0.012,0
"game","sports",0,0,0,0.08,0,0.038,0,0.026,0,0,0.145,0.004,0,0,0.102,0,0.105,1,0,0.021
"ball","sports",0,0,0,0,0,0,0,0,0,0.032,0,0.07,0,0,0.02,0,0.07,1,0,0
"guy","sports",0,0,0.096,0,0,0,0,0.082,0,0,0,0,0.067,0,0.161,0.017,0,1,0,0
"run","sports",0.14,0.176,0,0.018,0.191,0.092,0,0,0.156,0.004,0,0.091,0,0.14,0,0,0,1,0.046,0.117
"allowed","sports",0.048,0.063,0,0,0.083,0.034,0.009,0,0.027,0,0,0.05,0,0.046,0.118,0,0.004,1,0,0.016
"threw","sports",0.053,0.02,0,0,0.026,0.033,0,0,0.04,0.048,0,0.029,0,0.047,0,0,0.019,1,0,0.038
"throw","sports",0.011,0.073,0,0,0.07,0.037,0.092,0,0.056,0,0,0,0,0.04,0,0,0.114,1,0,0.002
"left","sports",0.062,0.051,0,0,0.052,0.095,0.182,0,0.057,0.008,0,0.024,0,0.079,0.068,0,0.027,1,0,0.025
"play","sports",0,0,0,0.112,0,0.152,0,0.178,0,0,0.242,0,0,0,0.301,0,0.097,1,0,0.051
"starter","sports",0.054,0.044,0.003,0,0.059,0,0,0,0.039,0.028,0,0.092,0.002,0.032,0,0.13,0,1,0,0.044
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
