"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.121,0,0,0.106,0,1,0.065,0,0,0,0,0.04,0,0.138,0,0.127,0.074,0.062,0
"prosecutor","crime",0,0,0.215,0,0.065,0,1,0,0,0,0,0.027,0.093,0,0.346,0.09,0.128,0.183,0,0
"police","crime",0,0.502,0.029,0,0.545,0,1,0,0,0,0,0.118,0,0,0.642,0.107,0.047,0,0,0
"defendant","crime",0,0,0.239,0,0.064,0,1,0,0,0,0,0,0.139,0,0.365,0.19,0.104,0.291,0,0
"restaurant","crime",0.014,0.203,0,0,0.238,0,1,0,0.087,0,0,0.131,0,0.009,0,0,0,0,0,0
"chef","crime",0,0.16,0.033,0,0.285,0,1,0,0,0,0,0.19,0,0,0,0.524,0,0,0,0
"investigator","crime",0,0.013,0.127,0,0.083,0,1,0.047,0,0,0,0,0.265,0,0.495,0,0.197,0,0,0
"witness","crime",0,0.06,0.166,0,0.143,0,1,0.021,0,0,0,0,0.254,0,0.322,0.1,0.048,0.219,0,0
"zzz_phil_jackson","crime",0,0.245,0,0,0,0.227,1,0,0.111,0,0,0.109,0,0,0,0,0.634,0,0,0
"witnesses","crime",0,0,0.293,0,0,0,1,0,0,0,0,0,0.046,0,0.395,0.138,0.051,0.187,0,0
"percent","economy",0.058,0.376,0.162,0.144,0.396,0.156,0.004,0,0.13,0,0.156,1,0,0.225,0.882,0,0.047,0,0.04,0.334
"market","economy",0,0.254,0.056,0,0.177,0,0.002,0.115,0.147,0,0,1,0.324,0.014,0,0.467,0,0.583,0.137,0.046
"growth","economy",0.536,0.324,0.494,0,0.587,0,0,0,0.008,0.158,0,0.913,0.388,0.194,1,0.993,0,0,0,0
"economy","economy",0.313,0.439,0.172,0,0.642,0,0.203,0.078,0.084,0,0,0,0.517,0.009,0,1,0,0,0.128,0
"rate","economy",0.668,0.522,0.133,0,0.869,0,0.66,0.344,0,0.124,0,0.977,0.919,0.117,1,0.535,0,0,0.285,0
"rates","economy",0.436,0.45,0,0,0.6,0,0.501,0.618,0.104,0.068,0,0,1,0.144,0.306,0.379,0,0,0.467,0
"economist","economy",0.144,0.292,0.632,0,0.383,0,0.05,0.541,0.028,0,0,0,1,0,0,0.975,0,0,0.313,0
"poll","economy",0,0,1,0.107,0.006,0,0,0,0,0,0.381,0,0.21,0,0.377,0,0,0.022,0,0.014
"survey","economy",0,0,0.747,0,0,0,0,0,0,0,0,0,0.076,0,1,0.259,0.014,0,0,0.211
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.395,0,0,0,0.371,0.359,0,0.405,0,0
"children","education",0,0,0,0,0.045,0,0,0,0,0,0.099,0.102,0,0,1,0,0.072,0.143,0,0.007
"reading","education",0.264,0.076,0,0,0.248,0,0,0,0,0.062,0,0.021,0,0.063,1,0.154,0.064,0,0,0
"campus","education",0.139,0.154,0.027,0,0.146,0.288,0,0.062,0.07,0,0,0.076,0,0.261,1,0,0.023,0,0.157,0.295
"learn","education",0.024,0,0.077,0,0,0,0,0,0,0,0,0,0,0,1,0.024,0,0.255,0,0.012
"prayer","education",0.094,0.058,0.022,0,0.155,0.016,0.004,0,0,0,0,0,0,0.083,1,0,0,0.098,0,0.061
"application","education",0,0,0.23,0,0,0,0,0.015,0,0,0.061,0,0.028,0,1,0.105,0.019,0,0,0
"literature","education",0,0.167,0.093,0,0.172,0.04,0.108,0,0,0,0,0.144,0,0,1,0.182,0.029,0,0.042,0.073
"deaf","education",0,0,0.056,0,0,0,0,0,0,0,0.13,0,0,0,1,0,0.123,0.073,0,0.003
"learning","education",0.248,0,0.072,0,0.057,0.067,0,0,0,0.192,0,0,0,0.144,1,0.059,0,0.15,0,0.115
"textbook","education",0.139,0.135,0.043,0,0.199,0.124,0,0,0.002,0,0,0.094,0,0.17,1,0.162,0.014,0,0,0.168
