"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.119,0,0,0.106,0,1,0.056,0,0,0,0,0.04,0,0.134,0,0.127,0.074,0.052,0
"prosecutor","crime",0,0,0.213,0,0.064,0,1,0,0,0,0,0.027,0.094,0,0.337,0.092,0.129,0.184,0,0
"police","crime",0,0.503,0.028,0,0.554,0,1,0,0,0,0,0.118,0,0,0.66,0.107,0.047,0,0,0
"defendant","crime",0,0,0.236,0,0.063,0,1,0,0,0,0,0,0.141,0,0.346,0.193,0.105,0.293,0,0
"restaurant","crime",0.015,0.207,0,0,0.242,0,1,0,0.09,0,0,0.131,0,0.008,0,0,0,0,0,0
"chef","crime",0,0.166,0.024,0,0.295,0,1,0,0,0,0,0.191,0,0,0,0.527,0,0,0,0
"investigator","crime",0,0.009,0.125,0,0.077,0,1,0.039,0,0,0,0,0.267,0,0.499,0,0.198,0,0,0
"witness","crime",0,0.056,0.163,0,0.14,0,1,0.013,0,0,0,0,0.256,0,0.315,0.101,0.049,0.22,0,0
"zzz_phil_jackson","crime",0,0.259,0,0,0.026,0.218,1,0,0.12,0,0,0.109,0,0,0,0,0.635,0,0,0
"witnesses","crime",0,0,0.291,0,0,0,1,0,0,0,0,0,0.047,0,0.375,0.14,0.052,0.188,0,0
"percent","economy",0.062,0.376,0.174,0.141,0.398,0.151,0.004,0,0.124,0,0.156,1,0,0.227,0.934,0,0.047,0,0.041,0.337
"market","economy",0,0.247,0.054,0,0.177,0,0.002,0.112,0.147,0,0,1,0.323,0.014,0,0.466,0,0.583,0.129,0.054
"growth","economy",0.513,0.308,0.477,0,0.561,0,0,0,0,0.155,0,0.873,0.37,0.188,1,0.948,0,0,0,0
"economy","economy",0.312,0.436,0.168,0,0.639,0,0.2,0.078,0.084,0,0,0,0.518,0.01,0,1,0,0,0.124,0
"rate","economy",0.635,0.494,0.129,0,0.819,0,0.627,0.333,0,0.123,0,0.939,0.883,0.11,1,0.513,0,0,0.273,0
"rates","economy",0.43,0.438,0,0,0.583,0,0.497,0.619,0.096,0.071,0,0,1,0.14,0.326,0.378,0,0,0.463,0
"economist","economy",0.139,0.28,0.634,0,0.373,0,0.046,0.541,0.026,0,0,0,1,0,0,0.974,0,0,0.307,0
"poll","economy",0,0,1,0.101,0.007,0,0,0,0,0,0.371,0,0.206,0,0.362,0,0,0.022,0,0.017
"survey","economy",0,0,0.734,0,0,0,0,0,0,0,0,0,0.073,0,1,0.25,0.014,0,0,0.205
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.393,0,0,0,0.278,0.362,0,0.405,0,0
"children","education",0,0,0,0,0.05,0,0,0,0,0,0.094,0.098,0,0,1,0,0.069,0.138,0,0.003
"reading","education",0.253,0.075,0,0,0.239,0,0,0,0,0.059,0,0.02,0,0.061,1,0.148,0.062,0,0,0
"campus","education",0.133,0.146,0.027,0,0.139,0.275,0,0.06,0.059,0,0,0.072,0,0.246,1,0,0.022,0,0.151,0.276
"learn","education",0.023,0,0.075,0,0,0,0,0,0,0,0,0,0,0,1,0.023,0,0.247,0,0.01
"prayer","education",0.093,0.062,0.022,0,0.155,0.015,0.003,0,0,0,0,0,0,0.082,1,0,0,0.094,0,0.057
"application","education",0,0,0.225,0,0,0,0,0.018,0,0,0.058,0,0.028,0,1,0.103,0.019,0,0,0
"literature","education",0,0.164,0.09,0,0.173,0.038,0.104,0,0,0,0,0.139,0,0,1,0.175,0.028,0,0.042,0.069
"deaf","education",0,0,0.055,0,0,0.002,0,0,0,0,0.125,0,0,0,1,0,0.12,0.071,0,0
"learning","education",0.236,0,0.07,0,0.054,0.068,0,0,0,0.184,0,0,0,0.138,1,0.057,0,0.144,0,0.108
"textbook","education",0.135,0.133,0.041,0,0.195,0.119,0,0,0,0,0,0.089,0,0.164,1,0.155,0.013,0,0,0.159
"com","online",0.289,0.385,0,0,0.528,0,0,0,0.106,0,0,0.567,1,0.163,0.565,0,0,0.214,0,0.016
"information","online",0,0.05,0.336,0,0.154,0,0,0,0,0,0,0.105,1,0,0.964,0.435,0.222,0,0,0
"www","online",0.644,0.676,0,0.535,0.872,0.566,0,0,0.831,0,0.172,0,0,0.775,0,0,0,0,0,1
