"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.094,0,0.112,0.057,0.309,0
"prosecutor","crime",0,0,0.187,0,0,0,1,0,0,0,0,0.023,0.005,0,0.253,0.077,0.112,0.153,0,0
"police","crime",0,0,0.026,0,0,0,1,0,0,0,0,0.101,0,0,0.593,0.094,0.041,0,0.109,0
"defendant","crime",0,0,0.209,0,0,0,1,0,0,0,0,0,0.017,0,0.227,0.162,0.089,0.244,0,0
"restaurant","crime",0,0.021,0,0,0.005,0,1,0.13,0.007,0,0,0.12,0,0,0,0,0,0,0.613,0
"chef","crime",0,0,0.05,0,0,0,1,0,0,0,0,0.165,0,0,0,0.459,0,0,0.079,0
"investigator","crime",0,0,0.114,0,0,0,1,0,0,0,0,0,0.165,0,0.414,0,0.171,0,0.129,0
"witness","crime",0,0,0.148,0,0,0,1,0,0,0,0,0,0.146,0,0.239,0.086,0.042,0.186,0,0
"zzz_phil_jackson","crime",0,0,0,0,0,0,1,0,0,0,0,0.097,0,0,0,0,0.573,0,0,0.224
"witnesses","crime",0,0,0.248,0,0,0,1,0,0,0,0,0,0,0,0.239,0.11,0.042,0.147,0.146,0
"percent","economy",0.026,0.054,0.022,0.055,0.057,0.052,0.012,1,0.049,0,0.042,0.142,0,0.037,0.132,0,0.007,0,0.013,0.025
"market","economy",0,0,0.011,0,0,0.01,0.03,1,0,0,0,0.143,0.041,0,0,0.067,0,0.083,0.172,0.004
"growth","economy",0.005,0,0.031,0,0,0.007,0.008,1,0,0.023,0,0.054,0.016,0,0.051,0.059,0,0,0.029,0
"economy","economy",0,0,0.038,0,0,0,0.084,1,0,0.021,0,0,0.074,0,0,0.194,0,0,0.032,0
"rate","economy",0.057,0.031,0.015,0.019,0.043,0,0.091,1,0,0,0,0.096,0.074,0.008,0.093,0.053,0,0,0,0
"rates","economy",0.056,0.04,0.001,0.025,0.049,0,0.086,1,0.011,0,0,0,0.112,0.018,0.028,0.047,0,0,0,0
"economist","economy",0,0,0.125,0,0,0,0.053,1,0,0.009,0,0,0.173,0,0,0.191,0,0,0,0
"poll","economy",0.043,0.021,0.222,0.057,0.045,0,0,1,0,0,0.08,0,0.031,0,0.06,0,0,0.005,0.062,0
"survey","economy",0,0,0.207,0,0,0.041,0,1,0,0,0,0,0.015,0,0.299,0.072,0.004,0,0.022,0.02
"companies","economy",0,0,0.37,0,0,0,0,1,0,0.03,0,0,0,0,0,0.124,0,0.147,0.179,0
"children","education",0,0,0,0.03,0.003,0.007,0,0.22,0.002,0,0.069,0.091,0,0,1,0,0.064,0.127,0.249,0
"reading","education",0.068,0,0,0,0,0,0,0.033,0,0.115,0,0.019,0,0,1,0.137,0.056,0,0.122,0
"campus","education",0,0.041,0.015,0,0,0.173,0,0.099,0.1,0.006,0,0.062,0.019,0.088,1,0,0.019,0,0.058,0.2
"learn","education",0,0,0.077,0,0,0,0,0.068,0,0.037,0,0,0,0,1,0.019,0,0.227,0.387,0
