"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.103,0,0,0.091,0,1,0.04,0,0,0,0,0.039,0,0.1,0,0.121,0.064,0.033,0
"prosecutor","crime",0,0,0.216,0,0.058,0,1,0,0,0,0,0.024,0.092,0,0.265,0.088,0.122,0.169,0,0
"police","crime",0,0.436,0.032,0,0.504,0,1,0,0,0,0,0.11,0,0,0.645,0.099,0.044,0,0,0
"defendant","crime",0,0,0.232,0,0.054,0,1,0,0,0,0,0,0.137,0,0.24,0.183,0.099,0.272,0,0
"restaurant","crime",0.046,0.231,0,0,0.257,0.036,1,0,0.121,0,0,0.125,0,0.021,0,0,0,0,0,0
"chef","crime",0,0.163,0,0,0.278,0,1,0,0,0,0,0.18,0,0,0,0.497,0,0,0,0
"investigator","crime",0,0.003,0.137,0,0.063,0,1,0.046,0,0,0,0,0.253,0,0.442,0,0.186,0,0,0
"witness","crime",0,0.047,0.165,0,0.114,0,1,0.01,0,0,0,0,0.245,0,0.251,0.096,0.046,0.203,0,0
"zzz_phil_jackson","crime",0,0.28,0,0,0.121,0.203,1,0,0.162,0,0,0.103,0,0,0,0,0.611,0,0,0
"witnesses","crime",0,0,0.287,0,0,0,1,0,0,0,0,0,0.047,0,0.261,0.131,0.048,0.168,0,0
"percent","economy",0.108,0.314,0.214,0.488,0.355,0.151,0.062,0,0.025,0,0.195,0.945,0,0.257,1,0,0.044,0,0.031,0.382
"market","economy",0,0.171,0.036,0,0.052,0,0.119,0.052,0.141,0,0,1,0.319,0,0,0.459,0,0.58,0,0.086
"growth","economy",0.448,0.171,0.432,0,0.311,0,0,0,0,0.127,0,0.78,0.323,0.179,1,0.837,0,0,0,0.073
"economy","economy",0.289,0.353,0.123,0,0.459,0,0.309,0,0.071,0,0,0,0.525,0,0,1,0,0,0,0
"rate","economy",0.612,0.372,0.132,0.06,0.598,0,0.701,0.266,0,0.06,0,0.865,0.812,0.137,1,0.463,0,0,0.138,0
"rates","economy",0.413,0.352,0,0.024,0.422,0,0.607,0.563,0.045,0.062,0,0,1,0.137,0.372,0.369,0,0,0.325,0
"economist","economy",0.079,0.168,0.613,0,0.164,0,0.159,0.429,0.007,0,0,0,1,0,0,0.971,0,0,0.099,0
"poll","economy",0,0,1,0.304,0,0,0,0,0,0,0.355,0,0.187,0,0.3,0,0,0.019,0,0.092
"survey","economy",0,0,0.72,0,0,0,0,0,0,0,0,0,0.066,0.01,1,0.24,0.013,0,0,0.288
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.316,0,0,0,0,0.359,0,0.389,0,0
"children","education",0,0.002,0,0.135,0.095,0.023,0,0,0,0,0.107,0.092,0,0.045,1,0,0.064,0.129,0,0.035
"reading","education",0.288,0.053,0,0,0.216,0,0,0,0,0,0,0.019,0,0.104,1,0.133,0.057,0,0,0
"campus","education",0.162,0.113,0.028,0,0.134,0.257,0,0.069,0,0,0,0.063,0,0.256,1,0,0.019,0,0.155,0.281
"learn","education",0.069,0,0.08,0.006,0,0,0,0,0,0,0,0,0,0.029,1,0.021,0,0.231,0,0.059
"prayer","education",0.152,0.063,0.032,0.124,0.179,0.045,0.016,0,0,0,0.013,0,0,0.129,1,0,0,0.086,0,0.087
"application","education",0,0,0.232,0,0,0,0,0.037,0,0,0.057,0,0.027,0,1,0.102,0.019,0,0,0
"literature","education",0,0.123,0.082,0,0.185,0.06,0.11,0,0,0,0,0.13,0,0.048,1,0.162,0.027,0,0.037,0.104
