"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0.009,0,0,0,0,0.019,0,0.118,0,0.129,0.072,0.354,0
"prosecutor","crime",0,0,0.2,0,0,0,1,0,0,0,0,0.03,0.043,0,0.322,0.099,0.137,0.196,0,0
"police","crime",0,0.068,0.007,0,0.085,0,1,0,0,0,0,0.122,0,0,0.713,0.118,0.048,0,0.129,0
"defendant","crime",0,0,0.237,0,0,0,1,0,0,0,0,0,0.073,0,0.3,0.21,0.113,0.317,0,0
"restaurant","crime",0,0.012,0,0,0.003,0,1,0.138,0.008,0,0,0.13,0,0,0,0,0,0,0.658,0
"chef","crime",0,0,0.062,0,0,0,1,0.08,0,0,0,0.192,0,0,0,0.536,0,0,0.09,0
"investigator","crime",0,0,0.109,0,0,0,1,0,0,0,0,0,0.232,0,0.514,0,0.208,0,0.156,0
"witness","crime",0,0,0.153,0,0,0,1,0,0,0,0,0,0.212,0,0.301,0.109,0.051,0.233,0,0
"zzz_phil_jackson","crime",0,0,0,0,0,0.162,1,0,0,0,0,0.105,0,0,0,0,0.611,0,0,0.124
"witnesses","crime",0,0,0.29,0,0,0,1,0,0,0,0,0,0,0,0.322,0.147,0.055,0.199,0.187,0
"percent","economy",0.048,0.063,0.027,0.065,0.069,0.203,0.017,1,0.059,0,0.042,0.152,0,0.081,0.141,0,0.007,0,0.014,0.044
"market","economy",0,0.011,0.022,0,0.006,0.184,0.018,1,0.014,0,0,0.154,0.044,0.043,0,0.071,0,0.088,0.185,0.014
"growth","economy",0.039,0.008,0.041,0,0.009,0.166,0,1,0.006,0.04,0,0.058,0.018,0.046,0.055,0.062,0,0,0.031,0
"economy","economy",0.046,0.017,0.051,0,0.018,0.117,0.056,1,0,0.023,0,0,0.083,0.023,0,0.206,0,0,0.034,0
"rate","economy",0.085,0.047,0.022,0.024,0.061,0.132,0.079,1,0.012,0.017,0,0.102,0.082,0.052,0.099,0.055,0,0,0,0
"rates","economy",0.086,0.058,0.007,0.03,0.069,0.152,0.077,1,0.027,0.004,0,0,0.121,0.065,0.031,0.05,0,0,0,0
"economist","economy",0.034,0.014,0.139,0,0.015,0.12,0.022,1,0,0.01,0,0,0.188,0.02,0,0.202,0,0,0,0
"poll","economy",0.049,0.017,0.227,0.069,0.045,0.094,0,1,0,0,0.093,0,0.037,0.016,0.063,0,0,0.005,0.065,0
"survey","economy",0,0,0.222,0,0,0.159,0,1,0,0,0,0,0.017,0.021,0.317,0.074,0.004,0,0.024,0.04
"companies","economy",0,0,0.388,0,0,0,0,1,0,0.045,0,0,0,0,0,0.119,0,0.148,0.181,0
"children","education",0,0,0,0.038,0,0.001,0,0.214,0,0,0.083,0.092,0,0,1,0,0.065,0.128,0.25,0
"reading","education",0.092,0.006,0,0,0.021,0,0,0.054,0,0.106,0,0.019,0,0,1,0.139,0.057,0,0.123,0
"campus","education",0.018,0.079,0.014,0,0.041,0.2,0.005,0.062,0.129,0,0,0.063,0.006,0.122,1,0,0.019,0,0.058,0.198
"learn","education",0,0,0.075,0,0,0,0,0.081,0,0.022,0,0,0,0,1,0.018,0,0.229,0.389,0
"prayer","education",0,0.004,0.018,0.008,0.002,0.023,0.01,0.077,0.018,0,0.001,0,0,0.004,1,0,0,0.085,0.335,0.026
"application","education",0,0,0.218,0,0,0,0,0.142,0,0,0.015,0,0.033,0,1,0.095,0.019,0,0.131,0
"literature","education",0,0.035,0.087,0,0.037,0,0.108,0.02,0.008,0,0,0.13,0,0,1,0.165,0.027,0,0,0.008
