"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0.206,0,0,0,0,0.059,0,0.118,0,0.131,0.075,0.38,0
"prosecutor","crime",0,0,0.202,0,0,0,1,0,0,0,0,0.031,0.05,0,0.319,0.101,0.14,0.202,0,0
"police","crime",0,0.1,0.004,0,0.113,0,1,0.119,0,0,0,0.126,0,0,0.726,0.121,0.05,0,0.204,0
"defendant","crime",0,0,0.24,0,0,0,1,0,0,0,0,0,0.078,0,0.297,0.214,0.116,0.325,0,0
"restaurant","crime",0,0.023,0,0.014,0.028,0,1,0.654,0.005,0,0,0.132,0,0,0,0,0,0,0.733,0
"chef","crime",0,0,0.057,0,0,0,1,0.129,0,0,0,0.196,0,0,0,0.549,0,0,0.222,0
"investigator","crime",0,0,0.107,0,0,0,1,0,0,0,0,0,0.259,0,0.518,0,0.213,0,0.155,0
"witness","crime",0,0,0.154,0,0,0,1,0,0,0,0,0,0.227,0,0.298,0.111,0.052,0.238,0.005,0
"zzz_phil_jackson","crime",0,0,0,0,0,0.101,1,0.52,0,0,0,0.108,0,0,0,0,0.629,0,0.097,0.049
"witnesses","crime",0,0,0.294,0,0,0,1,0,0,0,0,0,0.016,0,0.324,0.152,0.056,0.207,0.25,0
"percent","economy",0.121,0.34,0.115,0.332,0.373,0.189,0.005,0.046,0.281,0,0.231,0.951,0,0.203,1,0,0.044,0,0.035,0.192
"market","economy",0,0.111,0.083,0,0.082,0.003,0.008,0.589,0.096,0,0,0.941,0.332,0.009,0,0.443,0,0.547,1,0.021
"growth","economy",0.247,0.118,0.449,0,0.099,0,0,0,0.009,0.218,0,0.784,0.234,0.052,1,0.857,0,0,0.264,0
"economy","economy",0.147,0.134,0.211,0,0.113,0,0.176,0,0,0,0,0,0.4,0,0,1,0,0,0.069,0
"rate","economy",0.462,0.32,0.115,0.018,0.39,0,0.524,0,0.023,0.051,0,0.863,0.655,0.061,1,0.482,0,0,0,0
"rates","economy",0.501,0.433,0,0.092,0.489,0,0.53,0,0.164,0,0,0,1,0.191,0.438,0.452,0,0,0,0
"economist","economy",0.088,0.104,0.652,0,0.082,0,0.014,0,0,0,0,0,0.875,0,0,1,0,0,0,0
"poll","economy",0.042,0,1,0.202,0.084,0,0,0,0,0,0.388,0,0.181,0,0.371,0,0,0.025,0.265,0
"survey","economy",0,0,0.641,0,0,0,0,0,0,0,0,0,0.044,0,1,0.224,0.013,0,0.034,0.086
"companies","economy",0,0,1,0,0,0,0,0.081,0,0.065,0.037,0,0,0,0,0.319,0,0.393,0.599,0
"children","education",0,0,0,0.032,0,0,0,0.268,0,0,0.084,0.092,0,0,1,0,0.065,0.128,0.292,0
"reading","education",0.091,0.013,0,0,0.02,0,0,0.073,0,0.118,0,0.019,0,0,1,0.14,0.057,0,0.143,0
"campus","education",0.046,0.114,0.015,0.008,0.086,0.177,0.004,0.128,0.15,0,0,0.064,0.005,0.133,1,0,0.019,0,0.048,0.199
"learn","education",0,0,0.075,0,0,0,0,0.237,0,0.022,0,0,0.004,0,1,0.018,0,0.23,0.388,0
"prayer","education",0,0.009,0.016,0.01,0.013,0,0,0.373,0.009,0,0.001,0,0,0,1,0,0,0.086,0.385,0.004
"application","education",0,0,0.219,0,0,0,0,0,0,0,0.017,0,0.042,0,1,0.095,0.019,0,0.12,0
"literature","education",0,0.042,0.088,0,0.043,0,0.103,0,0.007,0,0,0.131,0,0,1,0.166,0.027,0,0,0.001
"deaf","education",0,0,0.054,0,0,0,0,0.098,0,0.024,0.091,0,0,0,1,0,0.114,0.067,0.108,0
"learning","education",0.098,0,0.066,0,0,0.012,0,0.136,0.014,0.201,0,0,0.003,0.044,1,0.05,0,0.13,0.172,0.05
"textbook","education",0.022,0.067,0.044,0,0.049,0.074,0,0.109,0.071,0,0,0.081,0,0.058,1,0.142,0.012,0,0.032,0.091
"com","online",0.034,0.047,0,0.047,0.057,0,0,0.693,0.042,0,0.012,0.047,0.15,0.01,0.052,0,0,0.016,1,0
"information","online",0,0.024,0.049,0.019,0.037,0,0,0.658,0.01,0,0,0.013,0.194,0,0.128,0.055,0.029,0,1,0
"www","online",0.031,0.041,0,0.049,0.034,0,0,0.807,0.076,0,0.028,0,0,0.047,0,0,0,0,1,0.11
"zzz_eastern","online",0.011,0.024,0.012,0.027,0.042,0,0,0.648,0,0,0.003,0.018,0.257,0,0.063,0.065,0.012,0.014,1,0
"commentary","online",0.008,0.022,0.015,0.029,0.041,0,0,0.643,0,0,0.009,0.012,0.268,0,0.065,0.069,0.015,0.019,1,0
"web","online",0,0.034,0,0.078,0.039,0,0,0.778,0.056,0,0.094,0.024,0,0.015,0.011,0,0,0,1,0.077
"business","online",0,0,0.053,0,0,0,0,0.674,0,0.003,0,0.075,0.022,0,0.104,0.065,0,0.025,1,0
"separate","online",0,0,0.062,0,0,0,0,0.632,0,0,0,0.046,0.238,0,0.101,0.092,0.015,0.023,1,0
"marked","online",0.002,0.01,0.035,0.011,0.027,0,0,0.646,0,0,0,0.013,0.238,0,0.065,0.092,0.009,0.034,1,0
"holiday","online",0.004,0.028,0.023,0.02,0.04,0,0,0.664,0.014,0,0,0.046,0.238,0,0.065,0.072,0.011,0.025,1,0
"game","sports",0,0,0,0.059,0,0.01,0,0.08,0,0,0.13,0.004,0.007,0,0.103,0,0.105,1,0.124,0.026
"ball","sports",0,0,0,0,0,0,0,0.081,0,0.086,0,0.07,0,0,0.008,0,0.07,1,0.086,0
"guy","sports",0,0,0.095,0,0,0,0,0,0,0.004,0,0,0.078,0,0.158,0.013,0,1,0.04,0
"run","sports",0.121,0.135,0,0.059,0.124,0.116,0.001,0.09,0.132,0,0,0.091,0,0.128,0,0.002,0,1,0.036,0.109
"allowed","sports",0.028,0.039,0,0.021,0.042,0.022,0.007,0.012,0.033,0,0,0.05,0,0.028,0.15,0,0.004,1,0.007,0.013
"threw","sports",0.031,0.013,0,0,0.005,0.042,0,0.052,0.029,0.052,0,0.029,0,0.036,0.006,0.001,0.019,1,0.04,0.041
"throw","sports",0,0.018,0,0,0.007,0.038,0.093,0.056,0.028,0,0,0,0,0.02,0,0,0.114,1,0.022,0.012
"left","sports",0.007,0.006,0,0,0,0.053,0.182,0.154,0.035,0.038,0,0.024,0,0.036,0.106,0,0.027,1,0.135,0.046
"play","sports",0,0,0,0.004,0,0.031,0,0.103,0,0,0.186,0,0.003,0,0.305,0,0.097,1,0.129,0.098
"starter","sports",0.053,0.042,0.016,0.006,0.042,0.027,0,0,0.034,0.015,0,0.092,0,0.038,0,0.131,0,1,0,0.028
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
