"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.093,0,0.111,0.056,0.305,0
"prosecutor","crime",0,0,0.185,0,0,0,1,0,0,0,0,0.023,0,0,0.249,0.076,0.11,0.152,0,0
"police","crime",0,0,0.027,0,0,0,1,0,0,0,0,0.101,0,0,0.587,0.092,0.04,0,0.109,0
"defendant","crime",0,0,0.206,0,0,0,1,0,0,0,0,0,0.009,0,0.224,0.159,0.088,0.241,0,0
"restaurant","crime",0,0.023,0,0,0.008,0,1,0.13,0,0,0,0.12,0,0,0,0,0,0,0.61,0
"chef","crime",0,0,0.048,0,0,0,1,0,0,0,0,0.164,0,0,0,0.453,0,0,0.078,0
"investigator","crime",0,0,0.114,0,0,0,1,0,0,0,0,0,0.158,0,0.408,0,0.169,0,0.128,0
"witness","crime",0,0,0.148,0,0,0,1,0,0,0,0,0,0.139,0,0.236,0.084,0.042,0.183,0,0
"zzz_phil_jackson","crime",0,0,0,0,0,0,1,0,0,0,0,0.096,0,0,0,0,0.564,0,0,0.199
"witnesses","crime",0,0,0.244,0,0,0,1,0,0,0,0,0,0,0,0.234,0.108,0.042,0.144,0.144,0
"percent","economy",0.022,0.054,0.022,0.055,0.057,0.059,0.011,1,0.05,0,0.042,0.142,0,0.035,0.132,0,0.007,0,0.013,0.026
"market","economy",0,0,0.011,0,0,0.007,0.032,1,0,0,0,0.143,0.041,0,0,0.067,0,0.083,0.172,0.004
"growth","economy",0.005,0,0.031,0,0,0.008,0.01,1,0,0.023,0,0.054,0.016,0,0.051,0.059,0,0,0.029,0
"economy","economy",0,0,0.038,0,0,0,0.088,1,0,0.02,0,0,0.073,0,0,0.194,0,0,0.032,0
"rate","economy",0.061,0.032,0.016,0.02,0.043,0,0.092,1,0,0,0,0.096,0.073,0.008,0.093,0.052,0,0,0,0
"rates","economy",0.058,0.04,0.001,0.025,0.05,0,0.087,1,0.009,0,0,0,0.112,0.018,0.028,0.047,0,0,0,0
"economist","economy",0,0,0.125,0,0,0,0.057,1,0,0.007,0,0,0.172,0,0,0.191,0,0,0,0
"poll","economy",0.047,0.022,0.224,0.059,0.047,0.005,0,1,0,0,0.08,0,0.03,0,0.059,0,0,0.004,0.062,0
"survey","economy",0,0,0.208,0,0,0.046,0,1,0,0,0,0,0.015,0,0.299,0.072,0.004,0,0.022,0.023
"companies","economy",0,0,0.37,0,0,0,0,1,0,0,0,0,0,0,0,0.125,0,0.147,0.179,0
"children","education",0,0,0,0.031,0.004,0.019,0,0.22,0.005,0,0.07,0.091,0,0,1,0,0.064,0.127,0.249,0
"reading","education",0.079,0,0,0,0,0,0.002,0.033,0,0.113,0,0.019,0,0,1,0.137,0.056,0,0.122,0
"campus","education",0,0.04,0.015,0,0,0.154,0,0.099,0.101,0.014,0,0.062,0.021,0.085,1,0,0.019,0,0.058,0.199
"learn","education",0,0,0.078,0,0,0,0,0.068,0,0.032,0,0,0,0,1,0.019,0,0.227,0.387,0
"prayer","education",0,0,0.022,0,0,0.052,0.05,0.079,0.025,0.007,0,0,0,0,1,0,0,0.083,0.333,0.037
"application","education",0,0,0.222,0,0,0,0.053,0.112,0,0,0,0,0.016,0,1,0.096,0.019,0,0.131,0
"literature","education",0,0.009,0.086,0,0.004,0,0.145,0.005,0,0,0,0.129,0,0,1,0.163,0.026,0,0,0.023
"deaf","education",0,0,0.056,0,0,0,0.032,0.021,0,0.022,0.063,0,0,0,1,0,0.113,0.065,0.065,0
"learning","education",0.061,0,0.064,0,0,0.068,0,0.108,0,0.208,0,0,0,0.026,1,0.05,0,0.128,0.175,0.05
"textbook","education",0,0.009,0.036,0,0,0.126,0,0.109,0.05,0.044,0,0.08,0,0.03,1,0.14,0.012,0,0.004,0.109
"com","online",0.034,0.033,0,0.033,0.04,0.039,0,0.026,0.023,0,0.015,0.045,0.07,0.019,0.05,0,0,0.014,1,0
"information","online",0.002,0.01,0.047,0.011,0.021,0.013,0,0.029,0,0,0,0.012,0.108,0,0.123,0.052,0.027,0,1,0
"www","online",0.006,0.023,0,0.015,0,0.126,0,0.004,0.076,0.055,0.014,0,0,0.059,0,0,0,0,1,0.126
"zzz_eastern","online",0.029,0.018,0.009,0.026,0.039,0,0,0.014,0,0,0.011,0.017,0.162,0,0.061,0.062,0.011,0.013,1,0
"commentary","online",0.029,0.018,0.012,0.029,0.041,0,0,0.017,0,0,0.016,0.012,0.172,0,0.062,0.065,0.015,0.018,1,0
"web","online",0,0.037,0,0.054,0.029,0.112,0,0,0.068,0,0.076,0.024,0,0.04,0.012,0,0,0,1,0.086
"business","online",0,0,0.051,0,0,0,0.023,0.196,0,0.008,0,0.074,0,0,0.101,0.065,0,0.023,1,0
"separate","online",0,0,0.058,0,0,0,0,0.04,0,0,0,0.044,0.142,0,0.097,0.088,0.014,0.021,1,0
"marked","online",0.019,0.004,0.031,0.011,0.024,0,0,0.036,0,0,0,0.013,0.144,0,0.062,0.088,0.009,0.032,1,0
"holiday","online",0.008,0.013,0.021,0.012,0.025,0,0,0.071,0,0,0,0.044,0.147,0,0.062,0.068,0.01,0.023,1,0
"game","sports",0,0,0,0.047,0.001,0.065,0,0.021,0.016,0,0.105,0.004,0.005,0,0.103,0,0.105,1,0.137,0.017
"ball","sports",0,0,0,0,0,0,0.041,0,0,0.122,0,0.069,0,0,0.007,0,0.069,1,0.072,0.007
"guy","sports",0,0,0.101,0,0,0,0.073,0,0,0.006,0,0,0.07,0,0.159,0.014,0,1,0.049,0
"run","sports",0.08,0.095,0,0.049,0.073,0.146,0,0.005,0.118,0.025,0,0.09,0,0.114,0,0,0,1,0.043,0.116
"allowed","sports",0.018,0.029,0,0.02,0.025,0.055,0.046,0,0.036,0,0,0.05,0,0.027,0.15,0,0.004,1,0.009,0.022
"threw","sports",0.005,0,0,0,0,0.068,0,0,0.022,0.074,0,0.029,0,0.025,0.006,0,0.019,1,0.042,0.048
"throw","sports",0,0,0,0,0,0.008,0.135,0.095,0.012,0.016,0,0,0,0.001,0,0,0.113,1,0.013,0.033
"left","sports",0,0,0,0,0,0,0.249,0.11,0.009,0.093,0,0.023,0,0.012,0.101,0,0.027,1,0.128,0.07
"play","sports",0,0,0,0,0,0,0.081,0.008,0,0,0.107,0,0.002,0,0.307,0,0.097,1,0.135,0.088
"starter","sports",0.039,0.023,0.01,0.01,0.021,0.091,0,0,0.029,0.025,0,0.092,0,0.03,0,0.13,0,1,0,0.025
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
