"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0.326,0.027,0.686,0.972,0.136,0.086,0.891,0.457,0.83,0.788,0.16,0.221,0.027,0.585,0.755,0.487,0,0.969,0.477,0.306
"prosecutor","crime",0.175,0.646,0.593,0.776,0.154,0.365,0.144,0.88,0.346,0.28,0,0.829,0.512,0.554,0.901,0.747,0.69,0.18,0.567,0.994
"police","crime",0.591,0.807,0.986,0.886,0.203,0.021,0.444,0,0.467,0.952,0.239,0.378,0.424,0.83,0.824,0.446,0.373,0.926,0.738,0.735
"defendant","crime",0.856,0.409,0.697,0.35,0.756,0.286,0.643,0.886,0.422,0.327,0.099,0.218,0,0.271,0.224,0.237,0.723,0.431,0.42,0.679
"restaurant","crime",0.117,0.677,0.368,0.355,0.621,0.942,0.204,0.729,0.984,0.204,0.314,0.534,0.97,0.54,0.291,0.576,0.62,0.441,0,0.763
"chef","crime",0.477,0.345,0.012,0.321,0.19,0.158,0.8,0.358,0,0.338,0.759,0.118,0.904,0.28,0.291,0.159,0.751,0.017,0.944,0.11
"investigator","crime",0.147,0.553,0,0.376,0.588,0.798,0.599,0.617,0.27,0.1,0.385,0.079,0.711,0.529,0.684,0.661,0.332,0.171,0.554,0.857
"witness","crime",0.725,0.786,0.659,0.544,0.707,0.443,0.823,0,0.93,0.032,0.495,0.346,0.04,0.677,0.563,0.738,0.515,0.767,0.525,0.904
"zzz_phil_jackson","crime",0.818,0.445,0.733,0.41,0.774,0.256,0.925,0.21,0,0.695,0.777,0.87,0.26,0.749,0.477,0.4,0.766,0.901,0.004,0.651
"witnesses","crime",0.029,0.193,0.062,0.629,0.793,0.445,0.5,0.729,0.483,0.364,0.175,0.43,0.158,0.202,0.163,0.263,0.298,0.707,0,0.133
"percent","economy",0.539,0.447,0.211,0.544,0.858,0,0.399,0.024,0.527,0.502,0.742,0.181,0.553,0.418,0.84,0.63,0.308,0.301,0.202,0.936
"market","economy",0.298,0.155,0.362,0.75,0.713,0.708,0,0.375,0.912,0.318,0.602,0.297,0.121,0.389,0.827,0.994,0.872,0.079,0.338,0.234
"growth","economy",0.216,0.893,0.45,0.654,0.748,0.063,0.811,0,0.65,0.634,0.622,0.029,0.346,0.41,0.432,0.767,0.582,0.712,0.433,0.864
"economy","economy",0,0.495,0.224,0.432,0.645,0.148,0.565,0.271,0.849,0.07,0.037,0.93,0.09,0.09,0.093,0.024,0.404,0.628,0.797,0.754
"rate","economy",0.616,0.365,0.612,0.872,0.4,0.19,0.696,0.119,0.117,0.357,0.519,0.514,0,0.001,0.169,0.64,0.301,0.737,0.848,0.289
"rates","economy",0.019,0.543,0.721,0.289,0.464,0.19,0.914,0.453,0.511,0.189,0.063,0.027,0.793,0.745,0.164,0.87,0.657,0.629,0.966,0
"economist","economy",0.522,0.615,0.746,0.043,0.854,0,0.709,0.927,0.612,0.794,0.227,0.833,0.461,0.072,0.457,0.296,0.265,0.801,0.661,0.507
"poll","economy",0.218,0.889,0.891,0.287,0.634,0.806,0.99,0.953,0.393,0.16,0.824,0.109,0.156,0.362,0.877,0.6,0.603,0.959,0.592,0
"survey","economy",0.766,0.564,0.434,0.221,0.211,0.435,0.18,0,0.121,0.211,0.15,0.561,0.78,0.767,0.759,0.664,0.816,0.737,0.156,0.951
"companies","economy",0,0.586,0.128,0.158,0.259,0.11,0.435,0.902,0.317,0.516,0.539,0.653,0.324,0.805,0.87,0.691,0.202,0.74,0.052,0.432
"children","education",0.566,0.66,0.334,0.686,0.848,0,0.084,0.823,0.373,0.362,0.921,0.708,0.943,0.181,0.041,0.335,0.453,0.524,0.939,0.445
"reading","education",0.401,0.999,0.261,0.667,0.968,0.673,0.299,0.532,0,0.887,0.405,0.301,0.954,0.461,0.288,0.084,0.584,0.152,0.072,0.582
