"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.122,0,0,0.111,0,1,0.073,0,0,0,0,0.04,0,0.137,0,0.126,0.074,0.073,0
"prosecutor","crime",0,0,0.22,0,0.075,0,1,0,0,0,0,0.028,0.093,0,0.345,0.089,0.128,0.184,0,0
"police","crime",0,0.511,0.031,0,0.55,0,1,0,0,0,0,0.119,0,0,0.629,0.107,0.047,0,0,0
"defendant","crime",0,0,0.244,0,0.074,0,1,0,0,0,0,0,0.138,0,0.37,0.189,0.104,0.291,0,0
"restaurant","crime",0.011,0.199,0,0,0.24,0,1,0,0.085,0,0,0.131,0,0.008,0,0,0,0,0,0
"chef","crime",0,0.153,0.04,0,0.28,0,1,0,0,0,0,0.189,0,0,0,0.518,0,0,0,0
"investigator","crime",0,0.02,0.133,0,0.095,0,1,0.063,0,0,0,0,0.264,0,0.489,0,0.197,0,0,0
"witness","crime",0,0.065,0.171,0,0.153,0,1,0.034,0,0,0,0,0.253,0,0.321,0.099,0.048,0.22,0,0
"zzz_phil_jackson","crime",0,0.235,0,0,0,0.2,1,0,0.103,0,0,0.109,0,0,0,0,0.63,0,0,0
"witnesses","crime",0,0,0.299,0,0.001,0,1,0,0,0,0,0,0.045,0,0.4,0.136,0.051,0.187,0,0
"percent","economy",0.066,0.381,0.155,0.149,0.396,0.216,0.005,0,0.142,0,0.158,1,0,0.235,0.85,0,0.047,0,0.043,0.299
"market","economy",0,0.262,0.057,0,0.176,0.001,0.006,0.113,0.147,0,0,1,0.325,0.013,0,0.466,0,0.583,0.14,0.045
"growth","economy",0.553,0.334,0.495,0,0.585,0,0,0,0.019,0.163,0,0.919,0.393,0.207,0.991,1,0,0,0,0
"economy","economy",0.315,0.443,0.173,0,0.639,0,0.212,0.075,0.083,0,0,0,0.52,0.01,0,1,0,0,0.132,0
"rate","economy",0.698,0.543,0.136,0,0.897,0,0.688,0.348,0,0.131,0,1,0.943,0.133,1,0.547,0,0,0.299,0
"rates","economy",0.443,0.458,0,0,0.607,0,0.509,0.614,0.11,0.068,0,0,1,0.149,0.296,0.378,0,0,0.47,0
"economist","economy",0.146,0.299,0.628,0,0.382,0,0.057,0.54,0.029,0,0,0,1,0,0,0.973,0,0,0.317,0
"poll","economy",0,0,1,0.108,0.003,0,0,0,0,0,0.384,0,0.213,0,0.385,0,0,0.022,0,0
"survey","economy",0,0,0.754,0,0,0,0,0,0,0,0,0,0.078,0,1,0.266,0.015,0,0,0.174
"companies","economy",0,0,1,0,0,0,0,0,0,0,0.395,0,0,0,0.42,0.357,0,0.403,0,0
"children","education",0,0,0,0,0.045,0.041,0,0,0,0,0.105,0.104,0,0,1,0,0.074,0.147,0,0
"reading","education",0.278,0.078,0,0,0.252,0,0,0,0,0.068,0,0.022,0,0.074,1,0.157,0.065,0,0,0
"campus","education",0.152,0.161,0.026,0,0.151,0.356,0,0.065,0.084,0,0,0.078,0,0.28,1,0,0.024,0,0.167,0.277
"learn","education",0.033,0,0.079,0,0,0,0,0,0,0,0,0,0,0,1,0.024,0,0.26,0,0
"prayer","education",0.105,0.061,0.022,0,0.159,0.074,0,0,0,0,0,0,0,0.095,1,0,0,0.101,0,0.032
"application","education",0,0,0.235,0,0,0,0,0.019,0,0,0.065,0,0.028,0,1,0.106,0.02,0,0,0
"literature","education",0,0.172,0.095,0,0.172,0.091,0.111,0,0,0,0,0.148,0,0.007,1,0.186,0.03,0,0.046,0.049
"deaf","education",0,0,0.059,0.013,0,0.041,0,0,0,0,0.136,0,0,0,1,0,0.125,0.074,0,0
"learning","education",0.264,0,0.074,0,0.059,0.125,0,0,0,0.201,0,0,0,0.158,1,0.061,0,0.154,0,0.089
"textbook","education",0.149,0.139,0.043,0,0.201,0.185,0,0,0.012,0,0,0.096,0,0.184,1,0.167,0.014,0,0,0.142
"com","online",0.299,0.401,0,0,0.54,0,0,0,0.121,0,0,0.566,1,0.171,0.516,0,0,0.214,0,0
"information","online",0,0.071,0.332,0,0.165,0,0,0,0,0,0,0.105,1,0,0.929,0.435,0.222,0,0,0
"www","online",0.639,0.65,0,0.53,0.84,0.646,0,0,0.848,0,0.179,0,0,0.788,0,0,0,0,0,1
"zzz_eastern","online",0,0.028,0.01,0,0.127,0,0,0.173,0,0,0,0.094,1,0,0.362,0.343,0.062,0.085,0,0
"commentary","online",0,0.003,0.021,0,0.095,0,0,0.208,0,0,0,0.061,1,0,0.36,0.341,0.076,0.107,0,0
"web","online",0,0.453,0,0.826,0.581,0.272,0,0,0.436,0,1,0.27,0,0.3,0.028,0,0,0,0,0.752
"business","online",0,0,0.353,0,0,0,0,0,0,0,0.039,0.593,0,0,1,0.526,0,0.217,0,0
"separate","online",0,0,0.306,0,0,0,0,0.066,0,0,0,0.266,1,0,0.659,0.539,0.085,0.145,0,0
"marked","online",0,0,0.142,0,0.116,0,0,0.073,0,0,0,0.079,1,0,0.429,0.532,0.055,0.205,0,0
"holiday","online",0,0.081,0.085,0,0.119,0,0,0.244,0,0,0,0.272,1,0,0.382,0.424,0.064,0.161,0.008,0
"game","sports",0,0,0,0.079,0,0.029,0,0.024,0,0,0.144,0.004,0,0,0.106,0,0.105,1,0,0.025
"ball","sports",0,0,0,0,0,0,0,0,0,0.033,0,0.07,0,0,0.016,0,0.07,1,0,0
"guy","sports",0,0,0.095,0,0,0,0,0.076,0,0,0,0,0.067,0,0.162,0.016,0,1,0,0
"run","sports",0.139,0.173,0,0.02,0.188,0.096,0,0,0.155,0.004,0,0.091,0,0.14,0,0,0,1,0.045,0.117
"allowed","sports",0.043,0.057,0,0,0.078,0.016,0.012,0,0.025,0,0,0.05,0,0.041,0.122,0,0.004,1,0,0.025
"threw","sports",0.051,0.017,0,0,0.022,0.032,0,0,0.039,0.049,0,0.029,0,0.046,0,0,0.019,1,0,0.04
"throw","sports",0.01,0.069,0,0,0.066,0.033,0.095,0,0.054,0,0,0,0,0.039,0,0,0.114,1,0,0.005
"left","sports",0.057,0.045,0,0,0.046,0.075,0.186,0,0.054,0.006,0,0.024,0,0.073,0.071,0,0.027,1,0,0.035
"play","sports",0,0,0,0.106,0,0.12,0,0.168,0,0,0.239,0,0,0,0.309,0,0.097,1,0,0.064
"starter","sports",0.053,0.042,0.003,0,0.056,0,0,0,0.039,0.03,0,0.092,0.002,0.032,0,0.13,0,1,0,0.042
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
