"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.199,0,0,0.031,0,1,0.13,0.008,0,0,0,0.042,0,0.943,0,0.133,0.071,0.175,0
"prosecutor","crime",0,0.001,0.312,0,0,0,1,0,0,0,0,0.029,0.106,0,0.837,0.08,0.137,0.187,0,0
"police","crime",0,0.518,0.131,0,0.416,0,1,0,0.061,0,0,0.124,0,0,0.779,0.084,0.05,0,0,0
"defendant","crime",0,0,0.347,0,0,0,1,0,0,0,0,0,0.159,0,0.817,0.184,0.113,0.305,0,0
"restaurant","crime",0,0.266,0,0,0.192,0,1,0,0.163,0,0,0.134,0,0,0.966,0,0,0,0.083,0
"chef","crime",0,0.24,0.025,0,0.211,0,1,0,0,0,0,0.201,0,0,0.962,0.533,0,0,0,0
"investigator","crime",0,0.041,0.212,0,0,0,1,0.068,0,0,0,0,0.286,0,0.825,0,0.209,0,0,0
"witness","crime",0,0.086,0.25,0,0.048,0,1,0.036,0,0,0,0,0.276,0,0.852,0.089,0.051,0.225,0,0
"zzz_phil_jackson","crime",0,0.297,0,0,0,0,0.99,0,0.179,0,0,0.11,0,0,1,0,0.646,0,0,0
"witnesses","crime",0,0,0.404,0,0,0,1,0,0,0,0,0,0.057,0,0.799,0.131,0.056,0.192,0,0
"percent","economy",0.036,0.297,0.289,0.236,0.362,0.261,0.025,0,0.21,0,0.171,1,0,0.203,0,0,0.047,0,0,0.22
"market","economy",0,0.339,0.038,0,0.244,0.321,0,0.212,0.095,0,0,1,0.319,0.118,0,0.462,0,0.59,0.243,0.145
"growth","economy",0.661,0.322,0.593,0,0.66,0.151,0,0,0.061,0.196,0,0.942,0.393,0.292,0,1,0,0,0,0
"economy","economy",0.357,0.451,0.203,0,0.651,0,0.182,0.068,0.076,0,0,0,0.536,0.04,0,1,0,0,0.111,0
"rate","economy",0.585,0.43,0.289,0,0.781,0,0.638,0.242,0.099,0.171,0,1,0.944,0.025,0.177,0.506,0,0,0.13,0
"rates","economy",0.412,0.392,0.087,0,0.559,0,0.478,0.539,0.167,0.067,0,0,1,0.115,0.162,0.35,0,0,0.357,0
"economist","economy",0.208,0.289,0.691,0,0.399,0,0.023,0.505,0.004,0,0,0,1,0.008,0,0.956,0,0,0.268,0
"poll","economy",0,0,1,0.242,0,0,0,0,0,0.024,0.314,0,0.172,0,0,0,0,0.01,0,0
"survey","economy",0,0,1,0.017,0,0.102,0,0,0,0,0,0,0.089,0,0,0.317,0.018,0,0,0.108
"companies","economy",0,0,1,0.041,0,0,0,0,0,0,0.462,0,0,0,0,0.418,0,0.429,0,0
"children","education",0,0,0,0.181,0,0,0,0,0,0,0.716,0.715,0,0,0,0,0.499,1,0,0
"reading","education",0.993,0.39,0,0,1,0,0,0,0,0.648,0,0.122,0,0,0,0.775,0.34,0,0,0
"campus","education",0.296,0.741,0.116,0,0.517,0.999,0.08,0.334,0.797,0,0,0.331,0,0.823,0,0,0.102,0,0.717,1
"learn","education",0,0,0.3,0,0,0,0,0,0,0.05,0,0,0,0,0,0.099,0,1,0,0
"prayer","education",0.285,0.464,0.356,0.071,1,0.374,0.094,0,0.14,0,0,0,0,0.234,0,0,0,0.896,0,0.179
