"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.252,0,0,0.063,0,1,0.215,0.017,0,0,0,0.035,0,0.909,0,0.132,0.076,0.273,0
"prosecutor","crime",0,0.068,0.272,0,0,0,1,0,0,0,0,0.03,0.104,0,0.865,0.092,0.137,0.194,0,0
"police","crime",0,0.598,0.07,0,0.457,0,1,0,0.082,0,0,0.126,0,0,0.73,0.099,0.05,0,0.002,0
"defendant","crime",0,0.004,0.298,0,0,0,1,0,0,0,0,0,0.157,0,0.89,0.197,0.112,0.311,0,0
"restaurant","crime",0,0.288,0,0,0.194,0,1,0,0.182,0,0,0.135,0,0,0.88,0,0,0,0.159,0
"chef","crime",0,0.297,0,0,0.238,0,1,0,0,0,0,0.2,0,0,0.9,0.537,0,0,0.083,0
"investigator","crime",0,0.103,0.179,0,0.017,0,1,0.141,0,0,0,0,0.284,0,0.797,0,0.21,0,0.087,0
"witness","crime",0,0.159,0.209,0,0.095,0,1,0.124,0,0,0,0,0.271,0,0.889,0.1,0.051,0.231,0.097,0
"zzz_phil_jackson","crime",0,0.287,0,0,0,0,1,0,0.23,0,0,0.112,0,0,0.79,0,0.659,0,0,0
"witnesses","crime",0,0,0.361,0,0,0,1,0,0,0,0,0,0.057,0,0.849,0.145,0.056,0.201,0,0
"percent","economy",0.024,0.303,0.256,0.165,0.361,0.118,0.009,0,0.221,0,0.162,1,0,0.193,0,0,0.047,0,0,0.156
"market","economy",0.039,0.378,0.01,0,0.291,0.758,0,0.246,0.033,0,0,1,0.313,0.199,0.047,0.462,0,0.59,0.271,0.383
"growth","economy",0.616,0.323,0.538,0,0.674,0,0,0,0.098,0.198,0,0.939,0.388,0.249,0,1,0,0,0,0
"economy","economy",0.341,0.493,0.15,0,0.692,0,0.171,0.14,0.096,0,0,0,0.526,0.022,0,1,0,0,0.169,0
"rate","economy",0.558,0.513,0.21,0,0.849,0,0.621,0.364,0.145,0.142,0,1,0.932,0,0.2,0.519,0,0,0.254,0
"rates","economy",0.397,0.455,0.037,0,0.621,0,0.468,0.624,0.209,0.047,0,0,1,0.089,0.154,0.36,0,0,0.442,0
"economist","economy",0.194,0.329,0.656,0,0.444,0,0.009,0.544,0.033,0,0,0,1,0,0,0.964,0,0,0.304,0
