"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.282,0,0,0.089,0,1,0.231,0.026,0,0,0,0.03,0,0.798,0,0.132,0.077,0.284,0
"prosecutor","crime",0,0.141,0.275,0,0.037,0,1,0,0,0,0,0.03,0.101,0,0.796,0.095,0.136,0.195,0.012,0
"police","crime",0,0.672,0.068,0,0.498,0,1,0,0.089,0,0,0.126,0,0,0.59,0.099,0.05,0,0.032,0
"defendant","crime",0,0.089,0.292,0,0.039,0,1,0,0,0,0,0,0.154,0,0.842,0.199,0.112,0.313,0,0
"restaurant","crime",0,0.304,0,0,0.204,0,1,0,0.189,0,0,0.134,0,0,0.728,0,0,0,0.161,0
"chef","crime",0,0.323,0,0,0.268,0,1,0,0,0,0,0.198,0,0,0.729,0.527,0,0,0.09,0
"investigator","crime",0,0.167,0.188,0,0.052,0,1,0.179,0,0,0,0,0.28,0,0.683,0,0.209,0,0.135,0
"witness","crime",0,0.223,0.21,0,0.132,0,1,0.167,0,0,0,0,0.266,0,0.822,0.102,0.051,0.232,0.15,0
"zzz_phil_jackson","crime",0,0.309,0,0,0,0,1,0,0.234,0,0,0.112,0,0,0.578,0,0.658,0,0,0
"witnesses","crime",0,0.057,0.363,0,0,0,1,0,0,0,0,0,0.056,0,0.781,0.148,0.055,0.203,0,0
"percent","economy",0.029,0.328,0.323,0.16,0.362,0.136,0,0,0.221,0,0.16,1,0,0.199,0,0,0.047,0,0,0.15
"market","economy",0.029,0.348,0.012,0,0.293,0.751,0,0.231,0.039,0,0,1,0.311,0.191,0.157,0.454,0,0.588,0.242,0.385
"growth","economy",0.628,0.314,0.597,0,0.689,0,0,0,0.106,0.177,0,0.951,0.388,0.253,0,1,0,0,0,0
"economy","economy",0.368,0.52,0.132,0,0.735,0,0.176,0.17,0.1,0,0,0,0.525,0.035,0,1,0,0,0.179,0
"rate","economy",0.597,0.586,0.255,0,0.903,0,0.622,0.446,0.151,0.119,0,1,0.921,0.008,0.138,0.509,0,0,0.33,0
"rates","economy",0.426,0.507,0.071,0,0.666,0,0.472,0.682,0.218,0.031,0,0,1,0.103,0.102,0.354,0,0,0.496,0
"economist","economy",0.217,0.367,0.671,0,0.482,0,0.009,0.583,0.035,0,0,0,1,0.004,0,0.965,0,0,0.341,0
"poll","economy",0.014,0,1,0.249,0,0,0,0,0,0,0.302,0,0.171,0,0,0,0,0.009,0,0
"survey","economy",0,0,1,0.024,0,0,0,0,0,0,0,0,0.092,0,0,0.311,0.017,0,0,0.034
"companies","economy",0,0,1,0.206,0,0,0,0,0,0,0.462,0,0,0,0,0.398,0,0.417,0,0
"children","education",0,0,0,0.049,0,0.948,0,0,0,0,0.713,0.715,0,0,0,0,0.499,1,0,0.299
"reading","education",0.974,0.401,0,0,1,0.116,0,0,0,0.548,0,0.108,0,0.063,0,0.685,0.302,0,0,0
"campus","education",0.21,0.729,0.175,0,0.505,0,0.038,0.266,1,0,0,0.38,0,0.847,0,0,0.117,0,0.624,0.596
"learn","education",0.052,0,0.302,0,0,0.941,0,0,0,0.061,0,0,0,0,0,0.107,0,1,0,0.366
"prayer","education",0.287,0.345,0.215,0,0.699,1,0.045,0,0,0,0,0,0,0.254,0.042,0,0,0.672,0,0.522
"application","education",0,0,1,0,0,0,0,0.031,0,0,0.289,0,0.137,0,0,0.453,0.083,0,0,0
"literature","education",0,1,0.386,0,0.59,0,0.534,0,0.136,0,0,0.713,0,0,0,0.869,0.148,0,0.304,0
"deaf","education",0,0,0.419,0.52,0,0.252,0,0,0,0,1,0,0,0,0,0,0.88,0.537,0,0
"learning","education",0.855,0,0.262,0.202,0.146,0.854,0,0,0,1,0,0,0,0.467,0,0.244,0,0.596,0,0.513
"textbook","education",0.497,0.713,0.116,0,0.982,0.413,0,0,0.535,0,0,0.599,0,0.774,0,1,0.09,0,0,0.567
"com","online",0.433,0.416,0,0.217,0.561,0.489,0,0,0.028,0,0,0.559,1,0.308,0,0,0,0.211,0,0.21
"information","online",0,0.14,0.286,0,0.2,0.081,0,0,0,0,0,0.104,1,0,0,0.429,0.219,0,0,0
"www","online",0.745,0.29,0,0.882,0.755,0.584,0,0,0.769,0.153,0.245,0,0,1,0,0,0,0,0,0.899
"zzz_eastern","online",0.039,0.104,0,0,0.162,0.071,0,0.143,0,0,0,0.093,1,0,0,0.333,0.062,0.086,0,0
"commentary","online",0.018,0.081,0,0,0.131,0.076,0,0.178,0,0,0,0.061,1,0,0,0.332,0.075,0.108,0,0
"web","online",0,0.084,0,1,0.341,0,0,0,0.255,0,0.904,0.231,0,0.312,0,0,0,0,0,0.341
"business","online",0,0,0.323,0,0,0.051,0,0,0,0,0.092,1,0,0,0,0.902,0,0.384,0,0
"separate","online",0,0,0.206,0,0,0,0,0.052,0,0,0,0.262,1,0,0,0.529,0.084,0.146,0,0
"marked","online",0.045,0.075,0.022,0,0.159,0.129,0,0.066,0,0,0,0.079,1,0,0,0.518,0.054,0.205,0,0
"holiday","online",0.01,0.183,0,0,0.166,0.178,0,0.249,0,0,0,0.271,1,0,0,0.417,0.063,0.162,0.031,0
"game","sports",0,0,0,0.08,0,0.811,0,0.051,0,0,0.143,0.006,0,0.062,0.317,0,0.105,1,0.012,0.402
"ball","sports",0.068,0,0,0,0,0.792,0,0,0,0.053,0,0.071,0,0.074,0.382,0,0.07,1,0,0.36
"guy","sports",0.028,0,0.093,0,0,0.779,0,0.131,0,0.005,0,0,0.065,0.033,0.384,0.024,0,1,0.065,0.392
"run","sports",0.255,0.178,0,0,0.224,0.907,0.012,0,0.052,0.03,0,0.092,0,0.256,0.396,0,0,1,0.078,0.509
"allowed","sports",0.145,0.076,0,0,0.107,0.842,0.023,0,0,0,0,0.052,0,0.14,0.391,0,0.005,1,0.007,0.417
"threw","sports",0.165,0.028,0,0,0.059,0.852,0,0,0,0.074,0,0.03,0,0.16,0.346,0.002,0.019,1,0.01,0.429
"throw","sports",0.11,0.097,0,0,0.098,0.826,0.103,0,0,0,0,0,0,0.134,0.467,0,0.114,1,0.049,0.403
"left","sports",0.142,0.084,0,0,0.073,0.82,0.192,0,0,0.025,0,0.025,0,0.15,0.53,0,0.027,1,0.071,0.426
"play","sports",0,0,0,0.077,0,0.726,0,0.201,0,0,0.236,0,0,0,0.38,0,0.097,1,0.04,0.399
"starter","sports",0.186,0.053,0,0.015,0.104,0.864,0,0,0,0.052,0,0.094,0.001,0.165,0.279,0.131,0,1,0.019,0.444
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
