"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0.227,0,0,0.046,0,1,0.18,0.01,0,0,0,0.039,0,0.961,0,0.133,0.073,0.236,0
"prosecutor","crime",0,0.031,0.29,0,0,0,1,0,0,0,0,0.03,0.106,0,0.876,0.086,0.137,0.191,0,0
"police","crime",0,0.553,0.099,0,0.437,0,1,0,0.076,0,0,0.125,0,0,0.79,0.092,0.05,0,0,0
"defendant","crime",0,0,0.322,0,0,0,1,0,0,0,0,0,0.159,0,0.873,0.192,0.113,0.308,0,0
"restaurant","crime",0,0.279,0,0,0.195,0,1,0,0.172,0,0,0.135,0,0,0.964,0,0,0,0.128,0
"chef","crime",0,0.268,0.006,0,0.224,0,1,0,0,0,0,0.201,0,0,0.974,0.537,0,0,0.025,0
"investigator","crime",0,0.066,0.195,0,0,0,1,0.102,0,0,0,0,0.286,0,0.844,0,0.21,0,0.039,0
"witness","crime",0,0.12,0.227,0,0.07,0,1,0.084,0,0,0,0,0.274,0,0.894,0.096,0.051,0.228,0.05,0
"zzz_phil_jackson","crime",0,0.293,0,0,0,0,1,0,0.208,0,0,0.112,0,0,0.956,0,0.656,0,0,0
"witnesses","crime",0,0,0.381,0,0,0,1,0,0,0,0,0,0.058,0,0.849,0.139,0.056,0.197,0,0
"percent","economy",0.024,0.294,0.265,0.194,0.362,0.122,0.014,0,0.222,0,0.165,1,0,0.191,0,0,0.047,0,0,0.17
"market","economy",0.006,0.375,0.016,0,0.273,0.649,0,0.253,0.055,0,0,1,0.315,0.168,0,0.464,0,0.592,0.288,0.285
"growth","economy",0.626,0.313,0.562,0,0.667,0,0,0,0.091,0.209,0,0.94,0.391,0.258,0,1,0,0,0,0
"economy","economy",0.335,0.46,0.18,0,0.667,0,0.172,0.089,0.096,0,0,0,0.531,0.018,0,1,0,0,0.123,0
"rate","economy",0.545,0.449,0.25,0,0.807,0,0.622,0.274,0.141,0.164,0,1,0.94,0,0.19,0.513,0,0,0.16,0
